Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA&start=01-01-2000&end=01-10-2016&submitOptions.x=57&submitOptions.y=1&trans=N
,FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
2016Sep,-0.3016
2016Aug,-0.2982
2016Jul,-0.2945
2016Jun,-0.2679
2016May,-0.2572
2016Apr,-0.2492
2016Mar,-0.2285
2016Feb,-0.1836
2016Jan,-0.1461
2015Dec,-0.1263
2015Nov,-0.0876
2015Oct,-0.0536
2015Sep,-0.0370
2015Aug,-0.0277
2015Jul,-0.0187
2015Jun,-0.0139
2015May,-0.0104
2015Apr,0.0047
2015Mar,0.0272
2015Feb,0.0482
2015Jan,0.0627
2014Dec,0.0809
2014Nov,0.0809
2014Oct,0.0826
2014Sep,0.0971
2014Aug,0.1916
2014Jul,0.2050
2014Jun,0.2414
2014May,0.3246
2014Apr,0.3297
2014Mar,0.3053
2014Feb,0.2881
2014Jan,0.2920
2013Dec,0.2735
2013Nov,0.2234
2013Oct,0.2258
2013Sep,0.2232
2013Aug,0.2259
2013Jul,0.2214
2013Jun,0.2103
2013May,0.2012
2013Apr,0.2089
2013Mar,0.2061
2013Feb,0.2234
2013Jan,0.2049
2012Dec,0.1855
2012Nov,0.1920
2012Oct,0.2079
2012Sep,0.2463
2012Aug,0.3324
2012Jul,0.4970
2012Jun,0.6589
2012May,0.6849
2012Apr,0.7443
2012Mar,0.8585
2012Feb,1.0483
2012Jan,1.2222
2011Dec,1.4261
2011Nov,1.4847
2011Oct,1.5759
2011Sep,1.5365
2011Aug,1.5521
2011Jul,1.5976
2011Jun,1.4886
2011May,1.4251
2011Apr,1.3212
2011Mar,1.1755
2011Feb,1.0867
2011Jan,1.0172
2010Dec,1.0217
2010Nov,1.0420
2010Oct,0.9977
2010Sep,0.8805
2010Aug,0.8955
2010Jul,0.8488
2010Jun,0.7276
2010May,0.6865
2010Apr,0.6447
2010Mar,0.6450
2010Feb,0.6617
2010Jan,0.6798
2009Dec,0.7120
2009Nov,0.7162
2009Oct,0.7375
2009Sep,0.7721
2009Aug,0.8605
2009Jul,0.9750
2009Jun,1.2279
2009May,1.2817
2009Apr,1.4223
2009Mar,1.6355
2009Feb,1.9431
2009Jan,2.4565
2008Dec,3.2926
2008Nov,4.2383
2008Oct,5.1131
2008Sep,5.0192
2008Aug,4.9652
2008Jul,4.9610
2008Jun,4.9405
2008May,4.8574
2008Apr,4.7835
2008Mar,4.5964
2008Feb,4.3621
2008Jan,4.4815
2007Dec,4.8484
2007Nov,4.6385
2007Oct,4.6874
2007Sep,4.7417
2007Aug,4.5436
2007Jul,4.2162
2007Jun,4.1478
2007May,4.0714
2007Apr,3.9753
2007Mar,3.8909
2007Feb,3.8182
2007Jan,3.7519
2006Dec,3.6842
2006Nov,3.5972
2006Oct,3.5020
2006Sep,3.3354
2006Aug,3.2265
2006Jul,3.1022
2006Jun,2.9857
2006May,2.8890
2006Apr,2.7938
2006Mar,2.7226
2006Feb,2.6004
2006Jan,2.5117
2005Dec,2.4729
2005Nov,2.3609
2005Oct,2.1966
2005Sep,2.1391
2005Aug,2.1325
2005Jul,2.1194
2005Jun,2.1110
2005May,2.1256
2005Apr,2.1372
2005Mar,2.1372
2005Feb,2.1384
2005Jan,2.1454
2004Dec,2.1732
2004Nov,2.1703
2004Oct,2.1473
2004Sep,2.1186
2004Aug,2.1143
2004Jul,2.1160
2004Jun,2.1127
2004May,2.0859
2004Apr,2.0488
2004Mar,2.0288
2004Feb,2.0706
2004Jan,2.0895
2003Dec,2.1463
2003Nov,2.1590
2003Oct,2.1436
2003Sep,2.1473
2003Aug,2.1404
2003Jul,2.1300
2003Jun,2.1519
2003May,2.4005
2003Apr,2.5333
2003Mar,2.5300
2003Feb,2.6875
2003Jan,2.8318
2002Dec,2.9410
2002Nov,3.1241
2002Oct,3.2613
2002Sep,3.3101
2002Aug,3.3519
2002Jul,3.4100
2002Jun,3.4640
2002May,3.4671
2002Apr,3.4069
2002Mar,3.3908
2002Feb,3.3571
2002Jan,3.3388
2001Dec,3.3449
2001Nov,3.3857
2001Oct,3.5999
2001Sep,3.9829
2001Aug,4.3535
2001Jul,4.4671
2001Jun,4.4536
2001May,4.6367
2001Apr,4.6820
2001Mar,4.7086
2001Feb,4.7558
2001Jan,4.7707
2000Dec,4.9392
2000Nov,5.0920
2000Oct,5.0413
2000Sep,4.8528
2000Aug,4.7771
2000Jul,4.5829
2000Jun,4.5017
2000May,4.3620
2000Apr,3.9253
2000Mar,3.7470
2000Feb,3.5368
2000Jan,3.3431
